,context,id,identifier,image,note,reading,sign,tablet
5811,lú.mu-kin-nu,6578,c1352adb-d4d6-46ac-8670-36587e2383ce__bm-49603,glyph_img/c1352adb-d4d6-46ac-8670-36587e2383ce__bm-49603.png,,nu,226,373
5812,lú.mu-kin-nu,6577,f9f82c8b-16cf-4f01-990a-86b72960eb35__bm-49603,glyph_img/f9f82c8b-16cf-4f01-990a-86b72960eb35__bm-49603.png,,kin,86,373
5813,lú.mu-kin-nu,6576,244b1ca5-a1d8-4ed1-b7a0-3bc4d224451d__bm-49603,glyph_img/244b1ca5-a1d8-4ed1-b7a0-3bc4d224451d__bm-49603.png,,mu,174,373
5814,lú.mu-kin-nu,6575,127eede9-1f09-44b5-a9f4-0bdd4c364b29__bm-49603,glyph_img/127eede9-1f09-44b5-a9f4-0bdd4c364b29__bm-49603.png,,lú,128,373
5815,i-nam-din,6574,fd435ae7-6061-4c2f-b5f4-df8a2f65d074__bm-49603,glyph_img/fd435ae7-6061-4c2f-b5f4-df8a2f65d074__bm-49603.png,,din,103,373
5816,i-nam-din,6573,73c26562-8ae2-4f14-955c-e0af68c45256__bm-49603,glyph_img/73c26562-8ae2-4f14-955c-e0af68c45256__bm-49603.png,,nam,169,373
5817,i-nam-din,6572,9c1b5795-6f46-49da-b265-8150cca90dbf__bm-49603,glyph_img/9c1b5795-6f46-49da-b265-8150cca90dbf__bm-49603.png,,i,155,373
5818,ITI.ZÍZ,6571,328da16c-f59d-4182-a6d8-0e4c6d3e1323__bm-49603,glyph_img/328da16c-f59d-4182-a6d8-0e4c6d3e1323__bm-49603.png,MN,ITI,177,373
5819,I.eri4-ba,6570,42fc6998-cc1d-4492-9f57-a3fb445834a3__bm-49603,glyph_img/42fc6998-cc1d-4492-9f57-a3fb445834a3__bm-49603.png,PN,eri4,216,373
5820,A-šú,6569,1245fd29-6e3e-4911-a8c3-c184f71cbdbf__bm-49603,glyph_img/1245fd29-6e3e-4911-a8c3-c184f71cbdbf__bm-49603.png,,šú,113,373
5821,I.d.UTU-NUMUN-BA-šá,6568,4213c89b-47f6-4b1e-be86-a22224a867e6__bm-49603,glyph_img/4213c89b-47f6-4b1e-be86-a22224a867e6__bm-49603.png,PN,šá,11,373
5822,I.d.UTU-NUMUN-BA-šá,6567,62ba0e51-dc3a-4f14-9b19-3d13134d4886__bm-49603,glyph_img/62ba0e51-dc3a-4f14-9b19-3d13134d4886__bm-49603.png,PN,BA,182,373
5823,I.d.UTU-NUMUN-BA-šá,6566,65bd793a-4dae-41e3-bacf-36a60312df87__bm-49603,glyph_img/65bd793a-4dae-41e3-bacf-36a60312df87__bm-49603.png,PN,NUMUN,223,373
5824,I.d.UTU-NUMUN-BA-šá,6565,7a3f25cf-5393-4c79-82e9-77ead5dc99d0__bm-49603,glyph_img/7a3f25cf-5393-4c79-82e9-77ead5dc99d0__bm-49603.png,PN,UTU,138,373
5825,I.d.UTU-NUMUN-BA-šá,6564,dcef4aca-8487-42e5-976b-53dc75f29ede__bm-49603,glyph_img/dcef4aca-8487-42e5-976b-53dc75f29ede__bm-49603.png,PN,DINGIR,179,373
5826,ina UGU,6563,d6defe7a-6b72-452d-8120-41c45317184c__bm-49603,glyph_img/d6defe7a-6b72-452d-8120-41c45317184c__bm-49603.png,,UGU,187,373
5827,,6562,dc749b06-ca77-44cc-845e-5bd03a97f74f__bm-49553,glyph_img/dc749b06-ca77-44cc-845e-5bd03a97f74f__bm-49553.png,PN,MU,174,372
5828,,6561,148cd2e8-fbdc-41a7-bc75-ab594b6408c1__bm-49553,glyph_img/148cd2e8-fbdc-41a7-bc75-ab594b6408c1__bm-49553.png,"could also be attributed to sign MAŠ (74, 47)",1/2,1,372
5829,,6560,f25f51cb-67fc-4d60-9e3c-b462003657e4__bm-49553,glyph_img/f25f51cb-67fc-4d60-9e3c-b462003657e4__bm-49553.png,,a',142,372
5830,pu-ut,6559,9335bbcf-9e88-46f6-9686-df2832fe7722__bm-49553,glyph_img/9335bbcf-9e88-46f6-9686-df2832fe7722__bm-49553.png,,pu,137,372
5831,KÙ.BABBAR,6558,2131d487-2b0d-4ad7-af80-75446433ea4d__bm-49553,glyph_img/2131d487-2b0d-4ad7-af80-75446433ea4d__bm-49553.png,,BABBAR,138,372
5832,KÙ.BABBAR,6557,ce526b5e-a7de-4dcc-916d-8efebdc8b2bf__bm-49553,glyph_img/ce526b5e-a7de-4dcc-916d-8efebdc8b2bf__bm-49553.png,,KÙ,116,372
5833,MA.NA,6556,84a9d803-da84-4774-9eac-79d0dbaace03__bm-49553,glyph_img/84a9d803-da84-4774-9eac-79d0dbaace03__bm-49553.png,,NA,172,372
5834,MA.NA,6555,e8e635a3-9c5e-4421-9085-c6b4180af589__bm-49553,glyph_img/e8e635a3-9c5e-4421-9085-c6b4180af589__bm-49553.png,,MA,133,372
5835,LUGAL,6554,98f3d4b0-9bb8-4270-ac63-9c80229d9b09__bm-49371,glyph_img/98f3d4b0-9bb8-4270-ac63-9c80229d9b09__bm-49371.png,,LUGAL,72,371
5836,MU.SAG.NAM LUGAL,6553,282029fc-b503-4fec-8c0d-29938bd01170__bm-49371,glyph_img/282029fc-b503-4fec-8c0d-29938bd01170__bm-49371.png,,SAG,149,371
5837,I.d.EN-e-ṭìr,6552,46f6186f-74cf-4b8a-b669-e902fc18e298__bm-49371,glyph_img/46f6186f-74cf-4b8a-b669-e902fc18e298__bm-49371.png,PN,ṭìr,69,371
5838,i.d.EN-e-ṭìr,6551,19f09acb-7112-4f27-a2db-dfeb9c3ce6b9__bm-49371,glyph_img/19f09acb-7112-4f27-a2db-dfeb9c3ce6b9__bm-49371.png,PN,e,119,371
5839,i.ri-mut-d.AG,6550,e43995db-31fe-4dad-9a86-3dc95e88ea39__bm-49371,glyph_img/e43995db-31fe-4dad-9a86-3dc95e88ea39__bm-49371.png,PN,mut,205,371
5840,i.ri-mut,6549,73b99f56-706a-40ad-b4bc-a8ab2a399cd0__bm-49371,glyph_img/73b99f56-706a-40ad-b4bc-a8ab2a399cd0__bm-49371.png,PN,ri,167,371
